table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NSW,1705.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Vic,1638.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Qld,1389.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,WA,547.1
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,612.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Tas,203.1
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,ACT,100.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NT,62.4
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Aust,6259.2
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,NSW,4.6
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,Vic,2.1
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,Qld,5.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,WA,7.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,SA,9.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,Tas,5.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,ACT,3.6
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,NT,6.2
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,,Ambulance service organisations,Revenue sources,Total revenue,Average annual growth rate from 2020-21 to 2024-25,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,Aust,4.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,NSW,199.53
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,Vic,233.67
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,Qld,247.38
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,WA,181.85
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,323.93
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,Tas,352.82
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,ACT,208.68
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,NT,237.97
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2024-25,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,Aust,228.44
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NSW,1350.2
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Vic,1194.7
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Qld,1242.6
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,WA,266.6
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,322.4
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Tas,150.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,ACT,83.1
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NT,54.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Aust,4663.4
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NSW,285.2
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Vic,225.4
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Qld,64.1
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,WA,187.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,134.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Tas,13.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,ACT,7.6
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NT,6.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Aust,923.2
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NSW,11.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Vic,117.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Qld,18.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,WA,62.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,44.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Tas,4.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,ACT,7.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NT,1.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Aust,267.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NSW,1646.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Vic,1538.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Qld,1324.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,WA,515.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,500.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Tas,166.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,ACT,98.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,NT,62.1
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,Aust,5854.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,NSW,195.25
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,Vic,222.71
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,Qld,239.66
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,WA,176.16
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,268.39
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,Tas,290.47
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2023-24,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,ACT,209.37
